status	path	zones	purpose
 M	apps/avelune_studio/lib/presentation/features/map_workspace/map_workspace_canvas.dart	MapWorkspaceCanvas; _MapWorkspaceCanvasState; @@ -5 +4,0 @@ import 'package:flutter/material.dart';; @@ -12,0 +12 @@ import 'package:avelune_studio/presentation/features/map_workspace/map_workspace; @@ -39,2 +39 @@ class _MapWorkspaceCanvasState extends State<MapWorkspaceCanvas> {; @@ -88,19 +87,8 @@ class _MapWorkspaceCanvasState extends State<MapWorkspaceCanvas> {; @@ -108 +96,5 @@ class _MapWorkspaceCanvasState extends State<MapWorkspaceCanvas> {; @@ -110,2 +101,0 @@ class _MapWorkspaceCanvasState extends State<MapWorkspaceCanvas> {; @@ -116,15 +106 @@ class _MapWorkspaceCanvasState extends State<MapWorkspaceCanvas> {; @@ -164,8 +140 @@ class _MapWorkspaceCanvasState extends State<MapWorkspaceCanvas> {; @@ -187 +155,0 @@ class _MapWorkspaceCanvasState extends State<MapWorkspaceCanvas> {; @@ -252 +220,5 @@ class _MapWorkspaceCanvasState extends State<MapWorkspaceCanvas> {; @@ -265 +237 @@ class _MapWorkspaceCanvasState extends State<MapWorkspaceCanvas> {	preserve M1 session and integrate resource brushes
 M	apps/avelune_studio/lib/presentation/features/map_workspace/map_workspace_inspector.dart	MapWorkspaceInspector; _MapWorkspaceInspectorState; @@ -3,0 +4 @@ import 'package:avelune_studio/presentation/shared/widgets/buttons/studio_tool.d; @@ -16,0 +18,2 @@ class MapWorkspaceInspector extends StatefulWidget {; @@ -21,0 +25,2 @@ class MapWorkspaceInspector extends StatefulWidget {; @@ -93 +98,17 @@ class _MapWorkspaceInspectorState extends State<MapWorkspaceInspector> {	preserve M1 session and integrate resource brushes
 M	apps/avelune_studio/lib/presentation/features/map_workspace/map_workspace_panels.dart	MapWorkspacePalette; _MapWorkspacePaletteState; @@ -2 +1,0 @@ import 'package:flutter/material.dart';; @@ -3,0 +3 @@ import 'package:map_core/map_core_domain.dart';; @@ -7,2 +7,2 @@ import 'package:avelune_studio/features/map_workspace/application/editable_map_d; @@ -18,0 +19,2 @@ class MapWorkspacePalette extends StatefulWidget {; @@ -25,0 +28,2 @@ class MapWorkspacePalette extends StatefulWidget {; @@ -30,0 +35,2 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -34,4 +40,5 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -41 +48 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -45,3 +52,3 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -50,3 +57,3 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -54,25 +61,4 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -80,2 +66,18 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -87 +89 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -96 +98 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -98,2 +100,2 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -101 +103 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -104 +106,3 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -106,6 +110,8 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -113,10 +118,0 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -125,6 +121,5 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -132 +127 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -134,38 +129,29 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -173 +159,45 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {; @@ -177,5 +207,4 @@ class _MapWorkspacePaletteState extends State<MapWorkspacePalette> {	preserve M1 session and integrate resource brushes
 M	apps/avelune_studio/lib/presentation/features/map_workspace/map_workspace_screen.dart	MapWorkspaceScreen; _MapWorkspaceScreenState; @@ -4,3 +3,0 @@ import 'package:map_core/map_core_domain.dart';; @@ -9,3 +5,0 @@ import 'package:avelune_studio/features/map_workspace/application/map_workspace_; @@ -15,0 +10,8 @@ import 'package:avelune_studio/presentation/features/map_workspace/map_workspace; @@ -30,0 +33,2 @@ class MapWorkspaceScreen extends StatefulWidget {; @@ -32,0 +37,2 @@ class MapWorkspaceScreen extends StatefulWidget {; @@ -44,0 +51,2 @@ class _MapWorkspaceScreenState extends State<MapWorkspaceScreen> {; @@ -78,0 +87,8 @@ class _MapWorkspaceScreenState extends State<MapWorkspaceScreen> {; @@ -102,0 +119,3 @@ class _MapWorkspaceScreenState extends State<MapWorkspaceScreen> {; @@ -107,3 +126,8 @@ class _MapWorkspaceScreenState extends State<MapWorkspaceScreen> {; @@ -113 +137,4 @@ class _MapWorkspaceScreenState extends State<MapWorkspaceScreen> {; @@ -116 +143 @@ class _MapWorkspaceScreenState extends State<MapWorkspaceScreen> {; @@ -158,0 +186 @@ class _MapWorkspaceScreenState extends State<MapWorkspaceScreen> {; @@ -178,0 +207,2 @@ class _MapWorkspaceScreenState extends State<MapWorkspaceScreen> {; @@ -185,0 +216,19 @@ class _MapWorkspaceScreenState extends State<MapWorkspaceScreen> {; @@ -189,3 +237,0 @@ class _MapWorkspaceScreenState extends State<MapWorkspaceScreen> {; @@ -200 +246 @@ class _MapWorkspaceScreenState extends State<MapWorkspaceScreen> {; @@ -202,88 +248,17 @@ class _MapWorkspaceScreenState extends State<MapWorkspaceScreen> {; @@ -290,0 +266,26 @@ class _MapWorkspaceScreenState extends State<MapWorkspaceScreen> {	preserve M1 session and integrate resource brushes
 M	apps/avelune_studio/lib/presentation/features/map_workspace/map_workspace_toolbar.dart	MapWorkspaceToolbar; @@ -184,2 +184,6 @@ class MapWorkspaceToolbar extends StatelessWidget {; @@ -187 +191,3 @@ class MapWorkspaceToolbar extends StatelessWidget {	preserve M1 session and integrate resource brushes
 M	apps/avelune_studio/lib/presentation/features/map_workspace/map_workspace_view_state.dart	StudioMapTool; MapWorkspaceViewState; @@ -4 +4 @@ import 'package:map_core/map_core_domain.dart';; @@ -10,0 +11 @@ class MapWorkspaceViewState {; @@ -12,0 +14 @@ class MapWorkspaceViewState {	preserve M1 session and integrate resource brushes
 M	apps/avelune_studio/lib/presentation/features/map_workspace/map_workspace_visuals.dart	@@ -24,0 +25,9 @@ typedef LoadWorkspaceVisuals =	preserve M1 session and integrate resource brushes
 M	apps/avelune_studio/lib/presentation/features/map_workspace/workspace_resource_diagnostic.dart	WorkspaceResourceCause; WorkspaceResourceStatus; WorkspaceResourceDiagnostic; @@ -18,0 +19 @@ final class WorkspaceResourceDiagnostic {; @@ -26 +27,2 @@ final class WorkspaceResourceDiagnostic {	preserve M1 session and integrate resource brushes
 M	apps/avelune_studio/lib/presentation/shared/widgets/buttons/studio_button.dart	StudioButton; @@ -25 +25 @@ class StudioButton extends StatelessWidget {	M2 UI integration and documented user flow
 M	apps/avelune_studio/lib/presentation/shell/studio_workspace_host.dart	StudioWorkspaceHost; @@ -25,0 +26,2 @@ class StudioWorkspaceHost extends ConsumerWidget {	dependency injection and workspace lifecycle
 M	apps/avelune_studio/test/presentation/desktop_workspace_layout_test.dart	@@ -149 +149,3 @@ void main() {; @@ -161 +163,7 @@ void main() {	behavior proof and regression guard
 M	packages/map_authoring/lib/src/application/map_mutation_dispatcher.dart	MapMutationActionRegistration; MapMutationDispatcher; @@ -20,0 +21 @@ import '../domains/assets/tiled_tileset_import_actions.dart';; @@ -290,0 +292,5 @@ final class MapMutationDispatcher {	canonical staged resource mutation and recovery
 M	packages/map_authoring/lib/src/domains/assets/element_actions.dart	ElementActions; @@ -6,0 +7 @@ import 'tileset_actions.dart';; @@ -33 +34 @@ final class ElementActions {; @@ -36,0 +38,16 @@ final class ElementActions {; @@ -38 +55 @@ final class ElementActions {	canonical staged resource mutation and recovery
 M	packages/map_core/lib/src/operations/smart_tile_layer_creation.dart	SmartTileLayerCreationResult; SmartTileLayerCreationSuccess; SmartTileLayerCreationFailure; _SmartTileFieldCreationResult; _SmartTileFieldCreationSuccess; _SmartTileFieldCreationFailure; _SmartTileFieldShape; @@ -93,0 +94,35 @@ SmartTileLayerCreationResult planNativeSmartTileLayerCreation({	native terrain support with authoritative active map
 M	packages/map_core/test/smart_tiles/smart_tile_layer_creation_test.dart	@@ -4,0 +5,50 @@ void main() {	behavior proof and regression guard
 M	packages/map_runtime/lib/map_runtime_authoring.dart	@@ -7 +7 @@ export 'src/application/runtime_manifest_tilesets.dart'	image generation lifetime and canonical terrain dependencies
 M	packages/map_runtime/lib/src/infrastructure/tile_image_loader.dart	RuntimeTilesetImageSingleFlightCache; _RuntimeTilesetImageLoadSlot; _RuntimeTilesetImageCacheKey; @@ -40 +40 @@ final class RuntimeTilesetImageSingleFlightCache {; @@ -43 +43 @@ final class RuntimeTilesetImageSingleFlightCache {	image generation lifetime and canonical terrain dependencies
 M	packages/map_runtime/test/tile_image_loader_singleflight_test.dart	@@ -40,0 +41,22 @@ void main() {	behavior proof and regression guard
??	apps/avelune_studio/lib/app/di/resource_providers.dart	whole focused file	dependency injection and workspace lifecycle
??	apps/avelune_studio/lib/features/decors/application/decor_draft.dart	DecorDraft	exact decor selection, collision mask and shared variants
??	apps/avelune_studio/lib/features/decors/application/decor_source_support.dart	whole focused file	exact decor selection, collision mask and shared variants
??	apps/avelune_studio/lib/features/resources/data/local_resource_adapter.dart	LocalResourceAdapter	resource import, navigation, catalog and publication
??	apps/avelune_studio/lib/features/resources/data/resource_no_change.dart	whole focused file	resource import, navigation, catalog and publication
??	apps/avelune_studio/lib/features/resources/domain/resource_port.dart	ResourceImageImport; ResourceMutationReceipt; ResourceFailure	resource import, navigation, catalog and publication
??	apps/avelune_studio/lib/features/terrains/application/terrain_brush.dart	whole focused file	native terrain rules, scratch preview and map brush
??	apps/avelune_studio/lib/features/terrains/application/terrain_draft_controller.dart	TerrainDraftController	native terrain rules, scratch preview and map brush
??	apps/avelune_studio/lib/features/terrains/domain/terrain_connections.dart	whole focused file	native terrain rules, scratch preview and map brush
??	apps/avelune_studio/lib/platform/files/native_resource_image_picker.dart	NativeResourceImagePicker	M2 UI integration and documented user flow
??	apps/avelune_studio/lib/platform/rendering/studio_atlas_preview.dart	StudioAtlasPreview; _StudioAtlasPreviewState; _AtlasPainter	demand loading, budget and targeted resource invalidation
??	apps/avelune_studio/lib/platform/rendering/studio_resource_catalog.dart	whole focused file	demand loading, budget and targeted resource invalidation
??	apps/avelune_studio/lib/presentation/features/map_workspace/map_canvas_stroke.dart	MapCanvasStroke	preserve M1 session and integrate resource brushes
??	apps/avelune_studio/lib/presentation/features/map_workspace/map_workspace_layout.dart	MapWorkspaceLayout	preserve M1 session and integrate resource brushes
??	apps/avelune_studio/lib/presentation/features/resources/atlas_selection_view.dart	AtlasSelectionView; _AtlasSelectionViewState; _AtlasGrid	resource import, navigation, catalog and publication
??	apps/avelune_studio/lib/presentation/features/resources/decor_collision_mask.dart	DecorCollisionMask	resource import, navigation, catalog and publication
??	apps/avelune_studio/lib/presentation/features/resources/decor_editor_screen.dart	DecorEditorScreen; _DecorEditorScreenState	resource import, navigation, catalog and publication
??	apps/avelune_studio/lib/presentation/features/resources/resource_brush_selection.dart	whole focused file	resource import, navigation, catalog and publication
??	apps/avelune_studio/lib/presentation/features/resources/resource_catalog.dart	ResourceKind; ResourceItem; ResourceLibraryState	resource import, navigation, catalog and publication
??	apps/avelune_studio/lib/presentation/features/resources/resource_detail_panel.dart	ResourceDetailPanel	resource import, navigation, catalog and publication
??	apps/avelune_studio/lib/presentation/features/resources/resource_image_import.dart	PickedResourceImage	resource import, navigation, catalog and publication
??	apps/avelune_studio/lib/presentation/features/resources/resource_library_screen.dart	ResourceLibraryScreen; _ResourceLibraryScreenState	resource import, navigation, catalog and publication
??	apps/avelune_studio/lib/presentation/features/resources/resource_navigation.dart	ResourcePage; ResourceNavigation	resource import, navigation, catalog and publication
??	apps/avelune_studio/lib/presentation/features/resources/resource_preview.dart	whole focused file	resource import, navigation, catalog and publication
??	apps/avelune_studio/lib/presentation/features/resources/resource_workspace_pane.dart	ResourceWorkspacePane	resource import, navigation, catalog and publication
??	apps/avelune_studio/lib/presentation/features/resources/tile_selection_dialog.dart	whole focused file	resource import, navigation, catalog and publication
??	apps/avelune_studio/lib/presentation/features/terrains/terrain_editor_screen.dart	TerrainEditorScreen; _TerrainEditorScreenState	native terrain rules, scratch preview and map brush
??	apps/avelune_studio/lib/presentation/features/terrains/terrain_scratch_view.dart	TerrainScratchView	native terrain rules, scratch preview and map brush
??	apps/avelune_studio/lib/presentation/shared/widgets/inputs/studio_resource_card.dart	StudioResourceCard	M2 UI integration and documented user flow
??	apps/avelune_studio/test/application/decor_draft_test.dart	whole focused file	behavior proof and regression guard
??	apps/avelune_studio/test/infrastructure/studio_large_atlas_test.dart	whole focused file	behavior proof and regression guard
??	apps/avelune_studio/test/infrastructure/studio_resource_catalog_update_test.dart	whole focused file	behavior proof and regression guard
??	apps/avelune_studio/test/infrastructure/studio_terrain_brush_resources_test.dart	whole focused file	behavior proof and regression guard
??	apps/avelune_studio/test/presentation/atlas_selection_view_test.dart	whole focused file	behavior proof and regression guard
??	apps/avelune_studio/test/presentation/decor_collision_mask_test.dart	whole focused file	behavior proof and regression guard
??	apps/avelune_studio/test/presentation/m2_end_to_end_test.dart	whole focused file	behavior proof and regression guard
??	apps/avelune_studio/test/resource_io/decor_resource_io_test.dart	whole focused file	behavior proof and regression guard
??	apps/avelune_studio/test/resource_io/local_resource_adapter_test.dart	whole focused file	behavior proof and regression guard
??	apps/avelune_studio/test/resource_io/resource_fixture.dart	ResourceFixture	behavior proof and regression guard
??	apps/avelune_studio/test/resource_io/resource_navigation_save_test.dart	_ControlledResources	behavior proof and regression guard
??	apps/avelune_studio/test/resource_io/terrain_resource_io_test.dart	whole focused file	behavior proof and regression guard
??	apps/avelune_studio/test/support/m2_ui_fixture.dart	M2UiFixture; WidgetResourcePort; WidgetMapController	behavior proof and regression guard
??	apps/avelune_studio/test/terrain_canvas_test.dart	_PreviewVisuals	behavior proof and regression guard
??	apps/avelune_studio/test/terrain_creation_test.dart	whole focused file	behavior proof and regression guard
??	apps/avelune_studio/test/terrain_editor_test.dart	whole focused file	behavior proof and regression guard
??	apps/avelune_studio/test/terrain_runtime_test.dart	whole focused file	behavior proof and regression guard
??	packages/map_authoring/lib/src/domains/assets/tileset_image_import_actions.dart	TilesetImageImportActions	canonical staged resource mutation and recovery
??	packages/map_authoring/test/domains/assets/tileset_image_import_test.dart	_Fixture	behavior proof and regression guard
??	tools/pokemap_mcp/test/studio_resource_import.test.ts	whole focused file	behavior proof and regression guard
